Hausgemachte Gnocchi in heller veganer Soja-Kräutersoße mit Mais und Erbsen;23.06.2023;3.2;LINIE_4;1033.0;24.0;133.0;43.0;vegetarisch
Blattsalat Rohkostsalate;23.06.2023;0.9;LINIE_5;144.0;2.0;9.0;9.0;vegetarisch
